City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Nuevo Progreso,MX,71.01,scattered clouds,23.17,-97.95,Balneario Rio el Paraiso
611,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
613,Nicoya,CR,91.4,clear sky,10.15,-85.45,Guayacan Real
618,Quatre Cocos,MU,79.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
622,Ayorou,NE,77.36,clear sky,14.73,0.92,Hotel Amenokal
625,Charters Towers,AU,76.08,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
626,Mahalapye,BW,77.13,overcast clouds,-23.1,26.81,Keeme-Nao Hotel
629,La Peca,PE,86.13,light rain,-5.61,-78.44,Iks Fuente De Soda Restaurant
630,Ijui,BR,91.87,clear sky,-28.39,-53.91,Hotel Vera Cruz
633,Liwale,TZ,73.09,overcast clouds,-9.77,37.93,Samoma Lodge
634,Tevaitoa,PF,81.01,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
638,Salinopolis,BR,82.87,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
642,Bauta,CU,82.4,scattered clouds,22.98,-82.55,Piscina La Pérgola
650,Esmeraldas,BR,71.6,light rain,-19.76,-44.31,Bom Será - Marcinho e Fernanda
658,Ovalle,CL,83.19,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
659,Kimbe,PG,76.06,light rain,-5.55,150.14,Kimbe Bay Hotel
662,Taquara,BR,88.0,scattered clouds,-29.65,-50.78,Hostel na Rota da Serra Gaúcha
663,Iquique,CL,73.4,clear sky,-20.22,-70.14,Backpacker`s Hostel Iquique
665,Unai,BR,81.01,scattered clouds,-16.36,-46.91,Hotel Regente
666,Osmena,PH,81.12,scattered clouds,10.52,119.93,Arjemarkyza Lodge
667,Hobyo,SO,76.86,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
669,Aragarcas,BR,89.6,broken clouds,-15.9,-52.25,Hotel Pousada Tropical
672,Antalaha,MG,73.9,clear sky,-14.9,50.28,Hotel Vitasoa
674,Andros Town,BS,80.6,few clouds,24.7,-77.77,Hanks place
679,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
682,Samarai,PG,81.95,overcast clouds,-10.62,150.67,Nuli Sapi
684,Porto Novo,BJ,84.2,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
685,Biloela,AU,70.88,heavy intensity rain,-24.42,150.5,Silo Motor Inn
687,Jalingo,NG,78.82,few clouds,8.88,11.37,Debright Motel
689,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
692,Ambilobe,MG,76.46,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
693,Inhambane,MZ,80.6,moderate rain,-23.86,35.38,Oceano
694,Pochutla,MX,84.0,haze,15.74,-96.47,Hotel Posada San Jose
696,Vangaindrano,MG,75.97,overcast clouds,-23.35,47.6,Hotel Fanilo
